 ,reviewer,,author,categorization_mutono,year of publication,title,journal,volume issue,pages,country of focus,OCP,country programme,subnational area,Year data was collected,study population,population sample size,ecological features,vector species,baseline microfilarial prevalence,Baseline Community Microfialrial Load,baseline annual transmission potential,baseline nodule prevalence,baseline vector biting rate,MDA of ivermectin,vector control (Yes/No),Method of vector control (aerial larviciding or ground larviciding),vector elimination achieved (Yes.No),year ivermectin MDA started,year vector control started,number of years of ivermectin control,number of years of vector control,treatment frequency,year of change of frequency,geographical coverage,therapeutic coverage,year therapeutic coverage was more than 80,proportion compliance,proportion not adherening,Final outcome,type of elimination achieved,How elimination was verified,nodular prevalence,method nodular prevalence was measured,microfilarial prevalence ,How prevalence was calculated,No.of positive/no.of people tested for prevalence,Community Microfialrial Load,method microfilarial prevalence was measured,method used to confirm skin snip,Ov16 seropositivity in children,samples_collected_for_ov16,Poolscreen PCR testing,Dissection of vector population samples,fly infectivity rate,No.flies tested,other important data collected,co_endemicity,comments,MDA halted,atp,abr,years_biannual,years_over80
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Tanzania,APOC,,Tunduru,2013,Aged 5 or above,3211,-,Simulium damnosum s.l,-,-,-,67.5 (maxm.),-,Yes,,,-,1995,-,18,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,0.00%,No. of infected/No. of infected examined,0/3211,0,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Ongoing transmission,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Uganda,APOC,,Adjumani Mojo,2012,Aged 5 or above,5645,-,Simulium damnosum s.l,-,-,-,45.5 (maxm.),-,Yes,,,-,1999,-,13,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,1.41%,No. of infected/No. of infected examined,98/5645,0,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Uganda,APOC,,Kasese,2012,Aged 5 or above,6491,-,Simulium damnosum s.l,-,-,-,87.3 (maxm.),-,Yes,,,-,1998,-,14,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,0.46%,No. of infected/No. of infected examined,74/6491,0.1,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Ongoing transmission,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Uganda,APOC,,Arua Nebbie,2009,Aged 5 or above,3894,-,Simulium damnosum s.l,-,-,-,87.3 (maxm.),-,Yes,,,-,1999,-,10,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,2.30%,No. of infected/No. of infected examined,90/3894,1,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Ongoing transmission,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Cameroon,APOC,,Adamawa II,2012,Aged 5 or above,2816,-,Simulium damnosum s.l,-,-,-,57.5 (maxm.),-,Yes,,,-,1999,-,13,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,1.90%,No. of infected/No. of infected examined,53/2816,0.2,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Ongoing transmission,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Cameroon,APOC,,Centre 1,2011,Aged 5 or above,2576,-,Simulium damnosum s.l,-,-,-,71.9 (maxm.),-,Yes,,,-,2001,-,10,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,53.50%,No. of infected/No. of infected examined,1377/2576,5.3,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Ongoing transmission,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Cameroon,APOC,,Littoral 2,2011,Aged 5 or above,1576,-,Simulium damnosum s.l,-,-,-,59.9 (maxm.),-,Yes,,,-,2000,-,11,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,48.20%,No. of infected/No. of infected examined,759/1576,5.1,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Ongoing transmission,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Cameroon,APOC,,North Tchollire,2010,Aged 5 or above,1377,-,Simulium damnosum s.l,-,-,-,54.0 (maxm.),-,Yes,,,-,1999,-,11,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,6.10%,No. of infected/No. of infected examined,84/1377,3.2,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Ongoing transmission,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Cameroon,APOC,,North Toubouro,2010,Aged 5 or above,1230,-,Simulium damnosum s.l,-,-,-,81.9 (maxm.),-,Yes,,,-,1989,-,21,-,annual,-,-,<=65%,,-,-,,,-,-,REMO,3.90%,No. of infected/No. of infected examined,48/1230,0.3,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Ongoing transmission,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Cameroon,APOC,,South West 1,2012,Aged 5 or above,2159,-,Simulium damnosum s.l,-,-,-,71.7 (maxm.),-,Yes,,,-,1999,-,13,-,annual,-,-,<=65%,,-,-,,-,-,-,REMO,11.90%,No. of infected/No. of infected examined,257/2159,6.8,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Ongoing transmission,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Cameroon,APOC,,South West 2,2012,Aged 5 or above,2055,-,Simulium damnosum s.l,-,-,-,65.6 (maxm.),-,Yes,,,-,2001,-,11,-,annual,-,-,<=65%,,-,-,,-,-,-,REMO,13.80%,No. of infected/No. of infected examined,283/2055,5.3,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Ongoing transmission,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Cameroon,APOC,,Western Province,2011,Aged 5 or above,3239,-,Simulium damnosum s.l,-,-,-,86.4 (maxm.),-,Yes,,,-,2001,-,10,-,annual,-,-,<=65%,,-,-,,-,-,-,REMO,8.80%,No. of infected/No. of infected examined,284/3239,1.3,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Ongoing transmission,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,CAR,APOC,,Basse-Kotto,2010,Aged 5 or above,2758,-,Simulium damnosum s.l,-,-,-,59.7 (maxm.),-,Yes,,,-,1999,-,11,-,annual,-,-,<=65%,,-,-,,-,-,-,REMO,1.50%,No. of infected/No. of infected examined,41/2758,0.1,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,CAR,APOC,,Ouaham Pende,2012,Aged 5 or above,2455,-,Simulium damnosum s.l,-,-,-,60.1 (maxm.),-,Yes,,,-,1999,-,13,-,annual,-,-,<=65%,,-,-,,-,-,-,REMO,0.00%,No. of infected/No. of infected examined,0/2455,0,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,CAR,APOC,,Ouaka,2012,Aged 5 or above,2443,-,Simulium damnosum s.l,-,-,-,64.6 (maxm.),-,Yes,,,-,1999,-,13,-,annual,-,-,<=65%,,-,-,,-,-,-,REMO,0.00%,No. of infected/No. of infected examined,0/2443,0,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Congo,APOC,,Bouenza,2011,Aged 5 or above,1585,-,Simulium damnosum s.l,-,-,-,28.3 (maxm.),-,Yes,,,-,2001,-,10,-,annual,-,-,<=65%,,-,-,,-,-,-,REMO,0.80%,No. of infected/No. of infected examined,13/1585,0,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Ongoing transmission,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,DRC,APOC,,Uele,2012,Aged 5 or above,1752,-,Simulium damnosum s.l,-,-,-,96.4 (maxm.),-,Yes,,,-,2002,-,10,-,annual,-,-,<=65%,,-,-,,-,-,-,REMO,34.00%,No. of infected/No. of infected examined,595/1752,4.9,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Ongoing transmission,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Ethiopia,APOC,,"Kafa, Shekka, Bench Maji",2011,Aged 5 or above,2167,-,Simulium damnosum s.l,-,-,-,47.4 (maxm.),-,Yes,,,-,2001,-,10,-,annual,-,-,<=65%,,-,-,,-,-,-,REMO,5.10%,No. of infected/No. of infected examined,111/2167,0.4,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Ongoing transmission,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Liberia,APOC,,"Lofa, Bong, Nimba",2013,Aged 5 or above,3554,-,Simulium damnosum s.l,-,-,-,27.6 (maxm.),-,Yes,,,-,1999,-,14,-,annual,-,-,<=65%,,-,-,,-,-,-,REMO,6.90%,No. of infected/No. of infected examined,244/3554,1,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Nigeria,APOC,,Adamawa ,2012,Aged 5 or above,1574,-,Simulium damnosum s.l,-,-,-,51.5 (maxm.),-,Yes,,,-,2001,-,11,-,annual,-,-,<=65%,,-,-,,-,-,-,REMO,0.00%,No. of infected/No. of infected examined,0/1574,0,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Ongoing transmission,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Nigeria,APOC,,Ekiti,2012,Aged 5 or above,1939,-,Simulium damnosum s.l,-,-,-,22.8 (maxm.),-,Yes,,,-,2000,-,12,-,annual,-,-,<=65%,,-,-,,-,-,-,REMO,1.90%,No. of infected/No. of infected examined,36/1939,0.5,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Nigeria,APOC,,FCT,2013,Aged 5 or above,1385,-,Simulium damnosum s.l,-,-,-,21.1 (maxm.),-,Yes,,,-,1999,-,14,-,annual,-,-,<=65%,,-,-,,-,-,-,REMO,0.10%,No. of infected/No. of infected examined,2/1385,0,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Nigeria,APOC,,Kano,2013,Aged 5 or above,1820,-,Simulium damnosum s.l,-,-,-,26.0 (maxm.),-,Yes,,,-,2001,-,12,-,annual,-,-,<=65%,,-,-,,-,-,-,REMO,0.00%,No. of infected/No. of infected examined,0/1820,0,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Nigeria,APOC,,Kebbi,2013,Aged 5 or above,1365,-,Simulium damnosum s.l,-,-,-,21.5 (maxm.),-,Yes,,,-,2002,-,11,-,annual,-,-,<=65%,,-,-,,-,-,-,REMO,0.00%,No. of infected/No. of infected examined,0/1365,0,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Nigeria,APOC,,Niger,2013,Aged 5 or above,2820,-,Simulium damnosum s.l,-,-,-,28.7 (maxm.),-,Yes,,,-,2000,-,13,-,annual,-,-,<=65%,,-,-,,-,-,-,REMO,0.00%,No. of infected/No. of infected examined,0/2820,0,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Nigeria,APOC,,Osun,2012,Aged 5 or above,1544,-,Simulium damnosum s.l,-,-,-,25.6 (maxm.),-,Yes,,,-,1998,-,14,-,annual,-,-,<=65%,,-,-,,-,-,-,REMO,0.00%,No. of infected/No. of infected examined,0/1544,0,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Ongoing transmission,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Nigeria,APOC,,Kwara,2013,Aged 5 or above,2013,-,Simulium damnosum s.l,-,-,-,32.2 (maxm.),-,Yes,,,-,1999,-,14,-,annual,-,-,<=65%,,-,-,,-,-,-,REMO,1.40%,No. of infected/No. of infected examined,29/2013,0.5,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Nigeria,APOC,,Oyo,2013,Aged 5 or above,1235,-,Simulium damnosum s.l,-,-,-,35.2 (maxm.),-,Yes,,,-,2000,-,13,-,annual,-,-,<=65%,,-,-,,-,-,-,REMO,0.60%,No. of infected/No. of infected examined,6/1235,0.2,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Close to elimination,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Nigeria,APOC,,Plateau Nassarawa,2012,Aged 5 or above,1912,-,Simulium damnosum s.l,-,-,-,51.5 (maxm.),-,Yes,,,-,1998,-,14,-,annual,-,-,<=65%,,-,-,,-,-,-,REMO,0.10%,No. of infected/No. of infected examined,Feb-12,0,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
56,Ananthu,Mutono,Tekle et al,Ongoing transmission,2016,Progress towards onchocerciasis elimination in the participating countries of the African Programme for Onchocerciasis Control: Epidemiological evaluation results,Infect Dis Pover,5(66),NA,Nigeria,APOC,,Taraba,2009,Aged 5 or above,1695,-,Simulium damnosum s.l,-,-,-,61.8 (maxm.),-,Yes,,,-,1998,-,11,-,annual,-,-,<=65%,,-,-,,-,-,-,REMO,12.60%,No. of infected/No. of infected examined,214/1695,4.6,two skin snips using a 2 mm holth corneoscleral punch,microscope,-,,-,-,,,,,Results of the epidemiological evaluations during phase 1. ,,,,,
